# Wordlist

# DATA
ID	LOCAL_ID	DOCULECT	CONCEPT	CONCEPT_IN_SOURCE	VALUE	FORM	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID	ALIGNMENT	STRUCTURE
18	SantaMariaChimalapaZoque-2_ashes-1	SantaMariaChimalapaZoque	ASH	ashes	kuy-ham	kuy-ham	k u j + h a m	1 7 6 9 3 7 4	AXN_AXN	KYJ_HAM	6	6.K.C 6.Y.V 6.J.c 6._._ 6.H.C 6.A.V 6.M.c	2.0 1.5 0.8 0.0 2.0 1.5 0.8	kuj+ham	0	11	k u j + h a - m	c v c + c v c
19	SanMiguelChimalapaZoque-2_ashes-1	SanMiguelChimalapaZoque	ASH	ashes	kuy-ham	kuy-ham	k u j + h a m	1 7 6 9 3 7 4	AXN_AXN	KYJ_HAM	5	5.K.C 5.Y.V 5.J.c 5._._ 5.H.C 5.A.V 5.M.c	2.0 1.5 0.8 0.0 2.0 1.5 0.8	kuj+ham	0	11	k u j + h a - m	c v c + c v c
20	ChiapasZoque-2_ashes-1	ChiapasZoque	ASH	ashes	kuy-ham	kuy-ham	k u j + h a m	1 7 6 9 3 7 4	AXN_AXN	KYJ_HAM	1	1.K.C 1.Y.V 1.J.c 1._._ 1.H.C 1.A.V 1.M.c	2.0 1.5 0.8 0.0 2.0 1.5 0.8	kuj+ham	0	11	k u j + h a - m	c v c + c v c
#
21	NorthHighlandMixe-3_bark-1	NorthHighlandMixe	BARK	bark	kïp ak	kïp ak	k ɨ p + a k	1 7 1 9 7 1	AXN_XN	KIP_AK	3	3.K.C 3.I.V 3.P.c 3._._ 3.A.V 3.K.c	2.0 1.5 0.8 0.0 1.5 0.8	kɨp+ak	0	23	k ɨ p + a k	c v c + v c
22	SouthHighlandMixe-3_bark-1	SouthHighlandMixe	BARK	bark	ak	ak	a k	7 1	XN	AK	9	9.A.V 9.K.c	1.5 0.8	ak	0	22	a k	v c
23	LowlandMixe-3_bark-1	LowlandMixe	BARK	bark	ak	ak	a k	7 1	XN	AK	2	2.A.V 2.K.c	1.5 0.8	ak	0	22	a k	v c
24	SayulaPopoluca-3_bark-1	SayulaPopoluca	BARK	bark	ak	ak	a k	7 1	XN	AK	7	7.A.V 7.K.c	1.5 0.8	ak	0	22	a k	v c
25	TexistepecZoque-3_bark-1	TexistepecZoque	BARK	bark	kuy-daak	kuy-daak	k u j + d aː k	1 7 6 9 1 7 1	AXN_AXN	KYJ_TAK	10	10.K.C 10.Y.V 10.J.c 10._._ 10.T.C 10.A.V 10.K.c	2.0 1.5 0.8 0.0 2.0 1.5 0.8	kuj+daːk	0	28	k u j + d aː k	c v c + c v c
26	SantaMariaChimalapaZoque-3_bark-1	SantaMariaChimalapaZoque	BARK	bark	naka	naka	n a k a	4 7 1 7	AXBZ	NAKA	6	6.N.C 6.A.V 6.K.C 6.A.V	2.0 1.5 1.75 0.8	naka	0	25	n a k a	c v c v
27	SanMiguelChimalapaZoque-3_bark-1	SanMiguelChimalapaZoque	BARK	bark	kuy naka	kuy naka	k u j + n a k a	1 7 6 9 4 7 1 7	AXN_AXBZ	KYJ_NAKA	5	5.K.C 5.Y.V 5.J.c 5._._ 5.N.C 5.A.V 5.K.C 5.A.V	2.0 1.5 0.8 0.0 2.0 1.5 1.75 0.8	kuj+naka	0	21	k u - j - + n a k a	c v c + c v c v
28	ChiapasZoque-3_bark-1	ChiapasZoque	BARK	bark	kuʔyu-naka	kuʔyu-naka	k u ʔ j u + n a k a	1 7 1 6 7 9 4 7 1 7	AXBCZ_AXBZ	KYHJY_NAKA	1	1.K.C 1.Y.V 1.H.C 1.J.C 1.Y.V 1._._ 1.N.C 1.A.V 1.K.C 1.A.V	2.0 1.5 1.75 1.5 0.8 0.0 2.0 1.5 1.75 0.8	kuʔju+naka	0	21	k u ʔ j u + n a k a	c v c c v + c v c v
#
29	NorthHighlandMixe-4_belly-1	NorthHighlandMixe	BELLY	belly	tiints	tiints	t iː n ts	1 7 4 2	AXLN	TINC	3	3.T.C 3.I.V 3.N.c 3.C.c	2.0 1.5 1.1 0.8	tiːnts	0	31	t iː n ts	c v c c
30	SouthHighlandMixe-4_belly-1	SouthHighlandMixe	BELLY	belly	mææts	mææts	m æː ts	4 7 2	AXN	MEC	9	9.M.C 9.E.V 9.C.c	2.0 1.5 0.8	mæːts	0	36	m æː ts	c v c
31	LowlandMixe-4_belly-1	LowlandMixe	BELLY	belly	moʔošak	moʔošak	m o ʔ o ʃ a k	4 7 1 7 3 7 1	AXBYBYN	MUHUSAK	2	2.M.C 2.U.V 2.H.C 2.U.V 2.S.C 2.A.V 2.K.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	moʔoʃak	0	30	m o ʔ o ʃ a k	c v c v c v c
32	SayulaPopoluca-4_belly-1	SayulaPopoluca	BELLY	belly	tin-čay	tin-čay	t i n + tʃ a j	1 7 4 9 1 7 6	AXN_AXN	TIN_TAJ	7	7.T.C 7.I.V 7.N.c 7._._ 7.T.C 7.A.V 7.J.c	2.0 1.5 0.8 0.0 2.0 1.5 0.8	tin+tʃaj	0	35	t i n + tʃ a j	c v c + c v c
33	OlutaPopoluca-4_belly-1	OlutaPopoluca	BELLY	belly	puʔpu	puʔpu	p u ʔ p u	1 7 1 1 7	AXMBZ	PYHPY	4	4.P.C 4.Y.V 4.H.c 4.P.C 4.Y.V	2.0 1.5 1.1 1.75 0.8	puʔpu	0	32	p u ʔ p u	c v c c v
34	TexistepecZoque-4_belly-1	TexistepecZoque	BELLY	belly	tsek	tsek	ts e k	2 7 1	AXN	CEK	10	10.C.C 10.E.V 10.K.c	2.0 1.5 0.8	tsek	0	29	ts e k	c v c
35	SantaMariaChimalapaZoque-4_belly-1	SantaMariaChimalapaZoque	BELLY	belly	tsek	tsek	ts e k	2 7 1	AXN	CEK	6	6.C.C 6.E.V 6.K.c	2.0 1.5 0.8	tsek	0	29	ts e k	c v c
36	SanMiguelChimalapaZoque-4_belly-1	SanMiguelChimalapaZoque	BELLY	belly	tsek	tsek	ts e k	2 7 1	AXN	CEK	5	5.C.C 5.E.V 5.K.c	2.0 1.5 0.8	tsek	0	29	ts e k	c v c
37	ChiapasZoque-4_belly-1	ChiapasZoque	BELLY	belly	tsek	tsek	ts e k	2 7 1	AXN	CEK	1	1.C.C 1.E.V 1.K.c	2.0 1.5 0.8	tsek	0	29	ts e k	c v c
#
38	NorthHighlandMixe-5_big-1	NorthHighlandMixe	BIG	big	məh	məh	m ə h	4 7 3	AXN	MEH	3	3.M.C 3.E.V 3.H.c	2.0 1.5 0.8	məh	0	37	m ə h -	c v c
39	SouthHighlandMixe-5_big-1	SouthHighlandMixe	BIG	big	məh	məh	m ə h	4 7 3	AXN	MEH	9	9.M.C 9.E.V 9.H.c	2.0 1.5 0.8	məh	0	37	m ə h -	c v c
40	LowlandMixe-5_big-1	LowlandMixe	BIG	big	məh	məh	m ə h	4 7 3	AXN	MEH	2	2.M.C 2.E.V 2.H.c	2.0 1.5 0.8	məh	0	37	m ə h -	c v c
41	SayulaPopoluca-5_big-1	SayulaPopoluca	BIG	big	məh	məh	m ə h	4 7 3	AXN	MEH	7	7.M.C 7.E.V 7.H.c	2.0 1.5 0.8	məh	0	37	m ə h -	c v c
42	OlutaPopoluca-5_big-1	OlutaPopoluca	BIG	big	taʔnək	taʔnək	t a ʔ n ə k	1 7 1 4 7 1	AXBCYN	TAHNEK	4	4.T.C 4.A.V 4.H.C 4.N.C 4.E.V 4.K.c	2.0 1.5 1.75 1.5 1.3 0.8	taʔnək	0	40	t a ʔ n ə k	c v c c v c
43	TexistepecZoque-5_big-1	TexistepecZoque	BIG	big	wəəčeʔ	wəəčeʔ	w əː tʃ e ʔ	6 7 1 7 1	AXBYN	WETEH	10	10.W.C 10.E.V 10.T.C 10.E.V 10.H.c	2.0 1.5 1.75 1.3 0.8	wəːtʃeʔ	0	42	w əː tʃ e ʔ	c v c v c
44	SoteapanZoque-5_big-1	SoteapanZoque	BIG	big	məh	məh	m ə h	4 7 3	AXN	MEH	8	8.M.C 8.E.V 8.H.c	2.0 1.5 0.8	məh	0	37	m ə h -	c v c
45	SantaMariaChimalapaZoque-5_big-1	SantaMariaChimalapaZoque	BIG	big	wətiʔ	wətiʔ	w ə t i ʔ	6 7 1 7 1	AXBYN	WETIH	6	6.W.C 6.E.V 6.T.C 6.I.V 6.H.c	2.0 1.5 1.75 1.3 0.8	wətiʔ	0	42	w ə t i ʔ	c v c v c
46	SanMiguelChimalapaZoque-5_big-1	SanMiguelChimalapaZoque	BIG	big	komiʔ	komiʔ	k o m i ʔ	1 7 4 7 1	AXBYN	KUMIH	5	5.K.C 5.U.V 5.M.C 5.I.V 5.H.c	2.0 1.5 1.75 1.3 0.8	komiʔ	0	41	k o m i ʔ	c v c v c
47	ChiapasZoque-5_big-1	ChiapasZoque	BIG	big	məha	məha	m ə h a	4 7 3 7	AXBZ	MEHA	1	1.M.C 1.E.V 1.H.C 1.A.V	2.0 1.5 1.75 0.8	məha	0	37	m ə h a	c v c v
#
48	NorthHighlandMixe-6_bird-1	NorthHighlandMixe	BIRD	bird	həəyva	həəyva	h əː j v a	3 7 6 3 7	AXMBZ	HEJBA	3	3.H.C 3.E.V 3.J.c 3.B.C 3.A.V	2.0 1.5 1.1 1.75 0.8	həːjva	0	45	h əː j v a	c v c c v
49	SouthHighlandMixe-6_bird-1	SouthHighlandMixe	BIRD	bird	hoon	hoon	h oː n	3 7 4	AXN	HUN	9	9.H.C 9.U.V 9.N.c	2.0 1.5 0.8	hoːn	0	44	h oː n	c v c
50	LowlandMixe-6_bird-1	LowlandMixe	BIRD	bird	hoon	hoon	h oː n	3 7 4	AXN	HUN	2	2.H.C 2.U.V 2.N.c	2.0 1.5 0.8	hoːn	0	44	h oː n	c v c
51	SayulaPopoluca-6_bird-1	SayulaPopoluca	BIRD	bird	hohn	hohn	h o h n	3 7 3 4	AXBC	HUHN	7	7.H.C 7.U.V 7.H.C 7.N.C	2.0 1.5 1.75 1.5	hohn	0	49	h o h n	c v c c
52	OlutaPopoluca-6_bird-1	OlutaPopoluca	BIRD	bird	muuši	muuši	m uː ʃ i	4 7 3 7	AXBZ	MYSI	4	4.M.C 4.Y.V 4.S.C 4.I.V	2.0 1.5 1.75 0.8	muːʃi	0	46	m uː ʃ i	c v c v
53	TexistepecZoque-6_bird-1	TexistepecZoque	BIRD	bird	hon	hon	h o n	3 7 4	AXN	HUN	10	10.H.C 10.U.V 10.N.c	2.0 1.5 0.8	hon	0	44	h o n	c v c
54	SoteapanZoque-6_bird-1	SoteapanZoque	BIRD	bird	hon	hon	h o n	3 7 4	AXN	HUN	8	8.H.C 8.U.V 8.N.c	2.0 1.5 0.8	hon	0	44	h o n	c v c
55	SantaMariaChimalapaZoque-6_bird-1	SantaMariaChimalapaZoque	BIRD	bird	hon	hon	h o n	3 7 4	AXN	HUN	6	6.H.C 6.U.V 6.N.c	2.0 1.5 0.8	hon	0	44	h o n	c v c
56	SanMiguelChimalapaZoque-6_bird-1	SanMiguelChimalapaZoque	BIRD	bird	hon	hon	h o n	3 7 4	AXN	HUN	5	5.H.C 5.U.V 5.N.c	2.0 1.5 0.8	hon	0	44	h o n	c v c
57	ChiapasZoque-6_bird-1	ChiapasZoque	BIRD	bird	paloma	paloma	p a l o m a	1 7 5 7 4 7	AXBYBZ	PALUMA	1	1.P.C 1.A.V 1.L.C 1.U.V 1.M.C 1.A.V	2.0 1.5 1.75 1.3 1.75 0.8	paloma	0	43	p a l o m a	c v c v c v
#
58	NorthHighlandMixe-7_bite-1	NorthHighlandMixe	BITE	bite	tsuʔuts	tsuʔuts	ts u ʔ u ts	2 7 1 7 2	AXBYN	CYHYC	3	3.C.C 3.Y.V 3.H.C 3.Y.V 3.C.c	2.0 1.5 1.75 1.3 0.8	tsuʔuts	0	50	ts u ʔ u ts	c v c v c
59	SouthHighlandMixe-7_bite-1	SouthHighlandMixe	BITE	bite	tsuʔuts	tsuʔuts	ts u ʔ u ts	2 7 1 7 2	AXBYN	CYHYC	9	9.C.C 9.Y.V 9.H.C 9.Y.V 9.C.c	2.0 1.5 1.75 1.3 0.8	tsuʔuts	0	50	ts u ʔ u ts	c v c v c
60	LowlandMixe-7_bite-1	LowlandMixe	BITE	bite	noots	noots	n oː ts	4 7 2	AXN	NUC	2	2.N.C 2.U.V 2.C.c	2.0 1.5 0.8	noːts	0	51	n oː ts	c v c
61	SayulaPopoluca-7_bite-1	SayulaPopoluca	BITE	bite	kutoʔ	kutoʔ	k u t o ʔ	1 7 1 7 1	AXBYN	KYTUH	7	7.K.C 7.Y.V 7.T.C 7.U.V 7.H.c	2.0 1.5 1.75 1.3 0.8	kutoʔ	0	55	k u t o ʔ	c v c v c
62	OlutaPopoluca-7_bite-1	OlutaPopoluca	BITE	bite	tsuʔts	tsuʔts	ts u ʔ ts	2 7 1 2	AXBC	CYHC	4	4.C.C 4.Y.V 4.H.C 4.C.C	2.0 1.5 1.75 1.5	tsuʔts	0	50	ts u ʔ - ts	c v c c
63	TexistepecZoque-7_bite-1	TexistepecZoque	BITE	bite	keʔts	keʔts	k e ʔ ts	1 7 1 2	AXBC	KEHC	10	10.K.C 10.E.V 10.H.C 10.C.C	2.0 1.5 1.75 1.5	keʔts	0	50	k e ʔ - ts	c v c c
64	SoteapanZoque-7_bite-1	SoteapanZoque	BITE	bite	was	was	w a s	6 7 3	AXN	WAS	8	8.W.C 8.A.V 8.S.c	2.0 1.5 0.8	was	0	54	w a s	c v c
65	SanMiguelChimalapaZoque-7_bite-1	SanMiguelChimalapaZoque	BITE	bite	waš	waš	w a ʃ	6 7 3	AXN	WAS	5	5.W.C 5.A.V 5.S.c	2.0 1.5 0.8	waʃ	0	54	w a ʃ	c v c
66	ChiapasZoque-7_bite-1	ChiapasZoque	BITE	bite	keʔts	keʔts	k e ʔ ts	1 7 1 2	AXBC	KEHC	1	1.K.C 1.E.V 1.H.C 1.C.C	2.0 1.5 1.75 1.5	keʔts	0	50	k e ʔ - ts	c v c c
#
67	NorthHighlandMixe-8_black-1	NorthHighlandMixe	BLACK	black	yək	yək	j ə k	6 7 1	AXN	JEK	3	3.J.C 3.E.V 3.K.c	2.0 1.5 0.8	jək	0	56	j ə - k	c v c
68	SouthHighlandMixe-8_black-1	SouthHighlandMixe	BLACK	black	yəhk	yəhk	j ə h k	6 7 3 1	AXLN	JEHK	9	9.J.C 9.E.V 9.H.c 9.K.c	2.0 1.5 1.1 0.8	jəhk	0	56	j ə h k	c v c c
69	LowlandMixe-8_black-1	LowlandMixe	BLACK	black	yik	yik	j i k	6 7 1	AXN	JIK	2	2.J.C 2.I.V 2.K.c	2.0 1.5 0.8	jik	0	56	j i - k	c v c
70	SayulaPopoluca-8_black-1	SayulaPopoluca	BLACK	black	yəgək	yəgək	j ə g ə k	6 7 1 7 1	AXBYN	JEKEK	7	7.J.C 7.E.V 7.K.C 7.E.V 7.K.c	2.0 1.5 1.75 1.3 0.8	jəgək	0	59	j ə g ə - k	c v c v c
71	OlutaPopoluca-8_black-1	OlutaPopoluca	BLACK	black	yəkəʔk	yəkəʔk	j ə k ə ʔ k	6 7 1 7 1 1	AXBYLN	JEKEHK	4	4.J.C 4.E.V 4.K.C 4.E.V 4.H.c 4.K.c	2.0 1.5 1.75 1.3 1.1 0.8	jəkəʔk	0	59	j ə k ə ʔ k	c v c v c c
72	TexistepecZoque-8_black-1	TexistepecZoque	BLACK	black	yək	yək	j ə k	6 7 1	AXN	JEK	10	10.J.C 10.E.V 10.K.c	2.0 1.5 0.8	jək	0	56	j ə - k	c v c
73	SoteapanZoque-8_black-1	SoteapanZoque	BLACK	black	yək	yək	j ə k	6 7 1	AXN	JEK	8	8.J.C 8.E.V 8.K.c	2.0 1.5 0.8	jək	0	56	j ə - k	c v c
74	SantaMariaChimalapaZoque-8_black-1	SantaMariaChimalapaZoque	BLACK	black	yək	yək	j ə k	6 7 1	AXN	JEK	6	6.J.C 6.E.V 6.K.c	2.0 1.5 0.8	jək	0	56	j ə - k	c v c
75	SanMiguelChimalapaZoque-8_black-1	SanMiguelChimalapaZoque	BLACK	black	yək-yək	yək-yək	j ə k + j ə k	6 7 1 9 6 7 1	AXN_AXN	JEK_JEK	5	5.J.C 5.E.V 5.K.c 5._._ 5.J.C 5.E.V 5.K.c	2.0 1.5 0.8 0.0 2.0 1.5 0.8	jək+jək	0	60	j ə k + j ə k	c v c + c v c
76	ChiapasZoque-8_black-1	ChiapasZoque	BLACK	black	yək	yək	j ə k	6 7 1	AXN	JEK	1	1.J.C 1.E.V 1.K.c	2.0 1.5 0.8	jək	0	56	j ə - k	c v c
#
77	NorthHighlandMixe-9_blood-1	NorthHighlandMixe	BLOOD	blood	nïïʔpun	nïïʔpun	n ɨː ʔ p u n	4 7 1 1 7 4	AXMBYN	NIHPYN	3	3.N.C 3.I.V 3.H.c 3.P.C 3.Y.V 3.N.c	2.0 1.5 1.1 1.75 1.3 0.8	nɨːʔpun	0	61	n ɨː ʔ - p u - n -	c v c c v c
78	SouthHighlandMixe-9_blood-1	SouthHighlandMixe	BLOOD	blood	nəʔəpy	nəʔəpy	n ə ʔ ə p j	4 7 1 7 1 6	AXBYBC	NEHEPJ	9	9.N.C 9.E.V 9.H.C 9.E.V 9.P.C 9.J.C	2.0 1.5 1.75 1.3 1.75 1.5	nəʔəpj	0	62	n ə ʔ ə p j	c v c v c c
79	LowlandMixe-9_blood-1	LowlandMixe	BLOOD	blood	nəʔpy	nəʔpy	n ə ʔ p j	4 7 1 1 6	AXMBC	NEHPJ	2	2.N.C 2.E.V 2.H.c 2.P.C 2.J.C	2.0 1.5 1.1 1.75 1.5	nəʔpj	0	62	n ə ʔ - p j	c v c c c
80	SayulaPopoluca-9_blood-1	SayulaPopoluca	BLOOD	blood	nipin	nipin	n i p i n	4 7 1 7 4	AXBYN	NIPIN	7	7.N.C 7.I.V 7.P.C 7.I.V 7.N.c	2.0 1.5 1.75 1.3 0.8	nipin	0	61	n i - - p i - n -	c v c v c
81	OlutaPopoluca-9_blood-1	OlutaPopoluca	BLOOD	blood	nəʔpiʔn	nəʔpiʔn	n ə ʔ p i ʔ n	4 7 1 1 7 1 4	AXMBYBC	NEHPIHN	4	4.N.C 4.E.V 4.H.c 4.P.C 4.I.V 4.H.C 4.N.C	2.0 1.5 1.1 1.75 1.3 1.75 1.5	nəʔpiʔn	0	61	n ə ʔ - p i ʔ n -	c v c c v c c
82	TexistepecZoque-9_blood-1	TexistepecZoque	BLOOD	blood	dəʔəpeñ	dəʔəpeñ	d ə ʔ ə p e ɲ	1 7 1 7 1 7 4	AXBYBYN	TEHEPEN	10	10.T.C 10.E.V 10.H.C 10.E.V 10.P.C 10.E.V 10.N.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	dəʔəpeɲ	0	70	d ə ʔ ə p e ɲ	c v c v c v c
83	SoteapanZoque-9_blood-1	SoteapanZoque	BLOOD	blood	nəʔəpiñ	nəʔəpiñ	n ə ʔ ə p i ɲ	4 7 1 7 1 7 4	AXBYBYN	NEHEPIN	8	8.N.C 8.E.V 8.H.C 8.E.V 8.P.C 8.I.V 8.N.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	nəʔəpiɲ	0	61	n ə ʔ ə p i - ɲ -	c v c v c v c
84	SantaMariaChimalapaZoque-9_blood-1	SantaMariaChimalapaZoque	BLOOD	blood	nəʔpin	nəʔpin	n ə ʔ p i n	4 7 1 1 7 4	AXMBYN	NEHPIN	6	6.N.C 6.E.V 6.H.c 6.P.C 6.I.V 6.N.c	2.0 1.5 1.1 1.75 1.3 0.8	nəʔpin	0	61	n ə ʔ - p i - n -	c v c c v c
85	SanMiguelChimalapaZoque-9_blood-1	SanMiguelChimalapaZoque	BLOOD	blood	nəpinʔ	nəpinʔ	n ə p i n ʔ	4 7 1 7 4 1	AXBYLN	NEPINH	5	5.N.C 5.E.V 5.P.C 5.I.V 5.N.c 5.H.c	2.0 1.5 1.75 1.3 1.1 0.8	nəpinʔ	0	61	n ə - - p i - n ʔ	c v c v c c
86	ChiapasZoque-9_blood-1	ChiapasZoque	BLOOD	blood	nəʔpin	nəʔpin	n ə ʔ p i n	4 7 1 1 7 4	AXMBYN	NEHPIN	1	1.N.C 1.E.V 1.H.c 1.P.C 1.I.V 1.N.c	2.0 1.5 1.1 1.75 1.3 0.8	nəʔpin	0	61	n ə ʔ - p i - n -	c v c c v c
#
87	NorthHighlandMixe-10_bone-1	NorthHighlandMixe	BONE	bone	pahk	pahk	p a h k	1 7 3 1	AXLN	PAHK	3	3.P.C 3.A.V 3.H.c 3.K.c	2.0 1.5 1.1 0.8	pahk	0	71	p a h k -	c v c c
88	SouthHighlandMixe-10_bone-1	SouthHighlandMixe	BONE	bone	pahk	pahk	p a h k	1 7 3 1	AXLN	PAHK	9	9.P.C 9.A.V 9.H.c 9.K.c	2.0 1.5 1.1 0.8	pahk	0	71	p a h k -	c v c c
89	LowlandMixe-10_bone-1	LowlandMixe	BONE	bone	pahk	pahk	p a h k	1 7 3 1	AXLN	PAHK	2	2.P.C 2.A.V 2.H.c 2.K.c	2.0 1.5 1.1 0.8	pahk	0	71	p a h k -	c v c c
90	SayulaPopoluca-10_bone-1	SayulaPopoluca	BONE	bone	pahk	pahk	p a h k	1 7 3 1	AXLN	PAHK	7	7.P.C 7.A.V 7.H.c 7.K.c	2.0 1.5 1.1 0.8	pahk	0	71	p a h k -	c v c c
